Name,Absolute_magnitude,Color_index,Diameter_km,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
Ceres,3.33,0.72,848.4,73.470135,80.260196,10.586334,0.07881731,2.76718176
Pallas,4.12,0.66,498.1,310.864825,172.918176,34.92695,0.23008432,2.7696317
Juno,5.16,0.81,233.9,247.736324,169.843244,12.990663,0.25646812,2.67013684
Vesta,3.22,0.80,468.3,151.598805,103.757459,7.139175,0.0887568,2.36303823
Astraea,7.00,0.83,119.1,358.885807,141.52348,5.360136,0.18792367,2.57869792
Hebe,5.60,0.83,185.2,239.540125,138.638392,14.737637,0.20275219,2.42524054
Iris,5.63,0.85,199.8,145.413276,259.503911,5.517851,0.22966011,2.38695033
Flora,6.60,0.89,135.9,285.609201,110.864058,5.889169,0.15639085,2.20103748
Hygiea,5.60,0.69,407.1,312.486457,283.173387,3.831728,0.11115797,3.14018112
Parthenope,6.73,0.85,153.3,195.73782,125.520676,4.631277,0.09941751,2.45306902
Victoria,7.34,0.88,112.8,69.61074,235.363387,8.374117,0.22052522,2.333388
Egeria,6.95,0.75,207.6,79.906379,43.208703,16.536733,0.08561079,2.57557545
Eunomia,5.38,0.84,255.3,98.713225,292.90839,11.753566,0.18700971,2.64305665
Psyche,6.14,0.70,253.2,229.328365,150.030764,3.096791,0.13411772,2.92414506
Thetis,7.82,0.83,90.0,135.723771,125.539717,5.591983,0.13257089,2.47129277
Melpomene,6.57,0.85,140.6,228.181243,150.358975,10.132599,0.21816695,2.29513698
Massalia,6.61,0.81,145.5,257.506554,205.967817,0.7091,0.14328846,2.40857449
Lutetia,7.52,0.70,95.8,250.26765,80.850647,3.06388,0.16359628,2.43455076
Kalliope,6.64,0.69,181.0,357.773436,65.979316,13.700129,0.09862958,2.91119067
Thalia,7.17,0.85,107.5,61.440381,66.495104,10.107558,0.23110416,2.62919894
Phocaea,7.92,0.94,75.1,90.253645,214.095149,21.608987,0.25463648,2.39978694
Proserpina,7.58,0.88,95.1,193.721967,45.761964,3.562808,0.08907,2.65433231
Bellona,7.27,0.85,120.9,343.723093,144.289406,9.429012,0.15102586,2.77592219
Amphitrite,5.97,0.83,212.2,63.015484,356.328139,6.082784,0.07368276,2.55375365
Urania,7.61,0.87,99.7,86.90806,307.425617,2.093894,0.12716111,2.36512219
Euphrosyne,6.88,0.67,255.9,61.713516,30.797859,26.320384,0.21628073,3.16074374
Pomona,7.72,0.86,80.8,338.47666,220.36274,5.52176,0.08169295,2.58791206
Circe,8.68,0.70,113.5,330.049358,184.332232,5.497417,0.10658694,2.68688813
Leukothea,8.77,0.70,103.1,213.759574,353.72288,7.930289,0.22426634,2.99635061
Atalante,8.61,0.73,105.6,47.810224,358.198929,18.373805,0.30604448,2.74554619
Fides,7.42,0.84,108.3,62.32849,7.265459,3.07067,0.1757182,2.64321334
Leda,8.52,0.72,115.9,169.384457,295.531826,6.949744,0.15130725,2.74283283
Laetitia,6.26,0.89,149.5,209.701074,156.935795,10.37044,0.11194965,2.76933393
Harmonia,7.29,0.85,107.6,268.950818,94.163876,4.255588,0.04628176,2.26740267
Daphne,7.52,0.73,174.0,45.967465,178.055885,15.789704,0.27435963,2.7612163
Isis,7.62,0.88,100.2,237.23722,84.176527,8.510597,0.2223611,2.44275807
Ariadne,8.00,0.87,65.9,16.209373,264.761394,3.470669,0.16873738,2.20277051
Nysa,7.01,0.70,70.6,344.163744,131.499406,3.711667,0.14911866,2.42312858
Eugenia,7.67,0.66,214.6,87.543514,147.591473,6.605085,0.08335394,2.72088043
Hestia,8.59,0.70,124.1,177.090552,181.06874,2.351775,0.17271335,2.52484218
Aglaja,8.21,0.66,127.0,315.258035,3.051241,4.975713,0.12996863,2.8802805
Doris,7.19,0.72,221.8,250.876082,183.448799,6.559869,0.06826927,3.11711054
Pales,7.89,0.75,149.8,113.222844,285.029919,3.200267,0.22167385,3.09907857
Virginia,9.36,0.71,99.8,199.977983,173.466857,2.839405,0.28515192,2.65098565
Nemausa,7.66,0.77,147.9,1.690801,175.955213,9.979442,0.0674045,2.36491941
Europa,6.57,0.66,302.5,342.957612,128.5862,7.478466,0.11103146,3.09396274
Kalypso,8.91,0.71,115.4,314.212206,143.458067,5.181009,0.20250395,2.61870206
Alexandra,7.87,0.70,165.8,345.267487,313.23193,11.796442,0.19680295,2.71097053
Pandora,7.86,0.69,66.7,5.51945,10.361874,7.181715,0.14411599,2.75837169
Melete,8.55,0.69,113.2,104.947617,192.940473,8.08189,0.23750681,2.59686617
Mnemosyne,7.02,0.83,112.6,210.565733,198.89722,15.236718,0.10868161,3.15291779
Concordia,9.07,0.69,93.4,34.085641,161.063576,5.072589,0.04496431,2.6987008
Elpis,8.07,0.67,164.8,210.842464,169.931131,8.649284,0.11717589,2.7133634
Echo,8.56,0.85,60.2,271.016559,191.541178,3.601158,0.18514625,2.39161712
Danae,7.65,0.85,82.0,12.78496,333.573245,18.207845,0.16449078,2.98559539
Erato,8.83,0.71,95.4,277.481125,125.12005,2.236499,0.16810873,3.13060298
Ausonia,7.57,0.90,103.1,295.911106,337.697759,5.773912,0.12814511,2.39425554
Cybele,6.89,0.67,237.3,103.733137,155.525989,3.563568,0.11896833,3.43516373
Maja,9.55,0.71,72.8,43.386299,7.499449,3.045166,0.17312236,2.64717555
Asia,8.37,0.86,58.1,107.067383,202.387747,6.029287,0.18457472,2.42219428
Leto,7.05,0.84,122.6,304.720593,44.056163,7.961036,0.18479413,2.7837146
Hesperia,7.25,0.70,138.1,288.799606,184.985863,8.593137,0.17011394,2.97498192
Panopaea,8.25,0.74,122.2,255.758375,47.661083,11.595249,0.1808967,2.61619713
Niobe,7.24,0.82,83.4,267.082544,315.925915,23.242006,0.17626087,2.75403712
Feronia,9.11,0.78,86.1,103.194915,207.933495,5.417397,0.12100213,2.26692206
Klytia,9.03,0.82,44.4,55.827128,6.853887,2.369939,0.04199807,2.66512734
Galatea,8.82,0.69,118.7,174.728542,197.118516,4.071913,0.23627111,2.78150637
Eurydike,9.14,0.71,55.7,339.500293,359.321992,4.991695,0.30360367,2.67430871
Freia,8.06,0.70,183.7,252.00902,204.282816,2.12273,0.16672273,3.41259185
Frigga,8.68,0.75,69.2,61.671871,1.131784,2.422886,0.13340393,2.66732688
Diana,8.35,0.71,120.6,152.942317,333.345972,8.680813,0.20371743,2.62371151
Eurynome,7.97,0.88,66.5,201.565849,206.521464,4.613973,0.19074683,2.44438213
Sappho,8.14,0.90,78.4,139.547528,218.648558,8.676693,0.20002536,2.295913
Terpsichore,8.73,0.71,119.1,51.53841,0.94848,7.805357,0.21177323,2.85136529
Alkmene,8.30,0.81,61.0,110.945697,25.435603,2.826238,0.2205307,2.76287259
Beatrix,8.79,0.70,81.4,169.957939,27.668831,4.967393,0.08235618,2.4315764
Klio,9.38,0.73,79.2,15.04771,327.51497,9.316301,0.23612322,2.36205866
Io,7.83,0.66,154.8,122.900656,203.051562,11.961321,0.19382489,2.6532333
Semele,8.77,0.71,120.6,308.955487,86.068598,4.821766,0.21624038,3.10451495
Sylvia,6.98,0.70,260.9,264.288214,73.010411,10.879852,0.09396736,3.47769995
Thisbe,7.30,0.66,200.6,36.67586,276.431731,5.213881,0.16171487,2.76831505
Julia,6.78,0.88,151.5,45.094879,311.546064,16.125929,0.18447569,2.55033437
Antiope,8.49,0.69,120.1,245.25204,69.93771,2.206966,0.16780716,3.15041725
Aegina,8.94,0.73,109.8,74.363865,10.436618,2.103126,0.10712099,2.58987298
Undina,6.82,0.73,126.4,237.341527,101.406375,9.919939,0.1054343,3.18684536
Minerva,7.96,0.73,141.0,275.37994,4.025841,8.557737,0.13931351,2.75662184
Aurora,7.73,0.66,204.9,60.201414,2.550894,7.970906,0.09526501,3.15603879
