Name,Absolute_magnitude,Argument_of_perihelion,Longitude_of_ascending_node,Inclination,Eccentricity,Semimajor_axis_AU
Hirose,10.91,243.992268,319.471036,16.838378,0.09248259,3.10000959
Greenwich,12.64,141.60851,48.886337,25.380236,0.2058486,2.37738417
Chuvaev,14.12,162.952143,180.614252,1.333989,0.18951553,2.33937515
Yaronika,13.34,312.248048,237.120978,2.557393,0.14521873,2.34533596
Iwan,13.90,320.70587,341.595917,4.301991,0.09146847,2.24501046
Kreutz,14.90,249.375805,235.309032,19.224044,0.0842922,1.79461487
Whitney,12.72,73.951023,224.374521,10.25235,0.09352234,3.01625592
Khatchaturian,14.87,213.441321,103.119337,0.74416,0.2123313,2.21780339
Minamioda,12.30,14.875092,46.893034,10.067087,0.15209376,2.79521666
1988AG,13.05,141.065696,339.007785,8.754761,0.16952391,2.80716096
Aulis,9.59,75.296123,328.466301,20.199685,0.05785861,5.29815388
1987RE1,14.28,33.845265,342.978874,4.961753,0.21774268,2.29360283
Yoshidamichi,13.75,116.422248,82.299578,6.488984,0.06674591,2.56407226
1992WR2,12.99,188.548228,66.995024,3.074967,0.01825236,2.85647584
Tsunemi,14.36,116.587978,212.335628,4.285812,0.16524375,2.25518392
Vanier,14.54,226.706113,152.534388,4.406833,0.2189053,2.22645295
Abemasanao,13.90,167.98959,185.441558,0.493372,0.129862,3.24910854
Wuliangyong,14.56,180.482866,210.11917,2.44249,0.18367407,2.2658271
Rogerpeeters,14.65,302.545489,129.642304,4.039056,0.2953004,2.60021108
1998VG15,13.46,1.671119,328.687689,0.471966,0.16288655,3.09605637
Behaim,15.46,290.6332,25.937456,4.748101,0.08705837,2.66348098
1998SM123,14.54,253.971044,21.667904,5.567461,0.24019091,2.55855013
Virgiliofos,13.28,48.968655,93.267671,1.783879,0.10166717,3.16140432
1988UV,15.26,207.052888,212.430049,7.467908,0.09692717,2.25058681
1990UA1,12.73,221.527692,236.537858,12.076919,0.12998685,2.67226886
1997YG10,13.87,80.940763,33.774948,3.635022,0.13733862,2.57676543
1999BN13,15.09,24.911052,166.023408,2.000525,0.13693569,2.36541304
2000SC165,12.44,37.459154,283.557471,11.961345,0.01740382,3.13807576
1999RL196,13.12,171.605584,312.188811,8.213835,0.07762399,3.00577709
2000AL186,14.11,105.83439,158.690209,12.53715,0.10291476,2.72490031
6769P-L,14.34,325.598048,55.643655,2.437357,0.18495261,3.12999209
1993TJ24,15.72,264.553716,123.192418,2.256366,0.11811363,2.17547031
1999BS3,14.19,301.186822,161.57568,2.34261,0.02538923,2.8562941
1999RK37,13.95,45.296432,329.205725,25.496362,0.07527838,1.92230376
Mattweegman,14.50,289.235487,48.697461,7.601738,0.1503398,2.37630501
1998RF75,13.47,67.114047,183.692893,10.025824,0.04797786,3.22102603
1999RJ18,15.51,261.516541,113.760962,3.359915,0.20526937,2.4449109
4664P-L,14.10,344.104792,11.382002,9.45058,0.17375844,2.81058882
1993YR,14.75,196.135545,215.759289,11.701389,0.32006169,2.61918262
Williamgoddard,14.34,316.296626,138.186309,5.941805,0.05024777,2.29639841
2312T-2,14.61,307.752111,183.845152,3.671124,0.16171707,2.54053116
Cappelletto,14.71,338.137055,327.474168,1.981076,0.04621144,2.68045875
2000OT,13.07,190.335567,312.734264,13.417333,0.29440725,2.73132164
1990WH4,14.86,83.294491,79.972555,11.219352,0.1541919,2.39695984
Ichige,15.04,126.019935,57.058909,9.047518,0.06372193,2.40639336
2000OA55,14.51,221.472499,156.130397,1.042306,0.16934653,3.32007352
Rohanmehrotra,15.60,93.203318,348.568996,3.46521,0.01819174,2.54654911
Zhangyuhui,14.84,186.567521,162.640734,2.129911,0.07645411,2.88551039
1998KF7,13.63,154.55133,58.749143,11.533716,0.07273162,2.61047079
1999JX59,15.13,95.3749,171.751359,3.999867,0.10204136,2.60105798
1999JR81,15.68,105.472193,143.353512,7.673737,0.13682981,2.30533975
1999NF57,14.43,16.556415,240.26868,11.305065,0.20515998,2.66566224
2000RL70,14.84,312.018006,353.243475,5.798692,0.11805859,2.65782807
Cotahuasi,14.85,300.843775,219.539314,21.531756,0.31837553,2.40091596
1999JT3,16.30,225.090613,64.820501,9.333184,0.40125893,2.16923966
1999PB4,14.64,245.167462,107.518086,3.044805,0.22023068,3.14894923
2000QT129,14.46,262.357144,180.800128,6.334911,0.07105746,2.39975371
2000UZ17,15.69,298.249243,114.663931,5.982454,0.05090002,2.76395055
4070T-3,13.45,299.301423,187.876462,23.048075,0.08790574,3.19648369
2000RH53,14.29,194.56757,184.959491,8.598584,0.10935599,3.06914151
2000XR2,15.20,116.145224,340.918478,12.127927,0.13854445,2.63770515
2000YH108,15.30,116.247204,329.570052,2.504904,0.13732523,2.7385392
2002EF87,15.54,248.54002,32.8267,7.577871,0.11080263,2.38503129
1999TF168,16.40,336.173368,291.590894,2.651211,0.11724974,2.22660133
2000AE72,15.64,45.42656,107.937118,2.809508,0.05278114,2.58950675
2000EA104,13.22,199.104633,255.200955,9.399874,0.07664188,2.99674134
2000OD12,14.36,254.957578,291.34422,5.254472,0.04989594,2.8063795
1998RT63,14.28,352.242652,159.18415,12.096808,0.11177614,2.53043375
Mayatoyoshima,15.01,311.342251,164.540353,23.215917,0.26670371,2.30934287
1997TS22,14.62,88.52537,351.262123,1.565565,0.06199033,2.92754967
1999CU33,14.30,28.954417,323.964705,9.084913,0.09065196,3.02291262
2000AW146,15.16,314.524601,78.520559,6.22299,0.19218438,2.32231882
2000CJ109,15.32,326.713969,253.637975,9.083667,0.11471535,2.42091711
2000EO147,14.49,156.996131,2.064577,10.722665,0.05733349,3.06898609
1999AB2,15.66,293.491396,124.334354,5.653465,0.08972713,2.44355542
2000DJ64,15.97,142.663904,181.067308,5.541785,0.07587697,2.3020805
2001OD2,16.24,242.812807,7.898431,6.106434,0.09531623,2.37354986
2002TE196,14.49,102.01282,240.712467,7.991175,0.19200883,2.57144505
2001PG32,16.10,40.524642,49.485585,9.350239,0.1634483,2.40797433
2001QY178,15.37,280.952466,142.140379,6.129782,0.09152228,2.41332217
1998SV117,15.28,77.30567,327.27557,2.321955,0.16507547,2.45682496
1999JB97,14.83,175.332499,151.454115,12.957513,0.16272605,2.65038453
1999NG49,15.55,28.147169,257.68286,3.804182,0.16858211,2.27409608
2000OC30,15.41,156.367512,224.148836,5.650041,0.11111428,2.34599444
2000SX85,15.87,356.03827,122.144532,3.991892,0.06973175,2.28811263
2000SP146,15.46,140.408183,250.357107,1.697789,0.12037281,2.96829313
2000WC112,15.03,278.418369,282.396836,8.023696,0.05912467,2.74940798
2001UR23,14.49,275.666216,237.255558,13.795195,0.03643263,2.58783758
